Agency,Council of Government,Underserved and/or  Hard to Reach,CalEnviroScreen Score,Pollution Burden Percentile,Population,% Children and Seniors,AgencyArea (sq miles),Population Density (per sq. mile),Extreme Heat Days (days/year),Average Household Income ($),% Low-Income Census Tracts,# of Electric Circuits,Annual  Consumption (kWh),Annual Consumption (Therms) 
City of Bell,Gateway Cities (GCCOG),Yes,96,88,31864,36,2.5,13400,91,47800,100,14,2200000,91100
City of Maywood,Gateway Cities (GCCOG),Yes,90,92,27127,38,1.18,23257,77,50996,100,6,939153,1232
City of Bell Gardens,Gateway Cities (GCCOG),Yes,92,97,37467,30,2.5,17100,90,45300,100,9,1597960,25833
City of Pomona,San Gabriel Valley (SGVCOG),Yes,97,81,151100,37,22.99,6572,118,62400,82,56,20971427,23848
City of Irwindale,San Gabriel Valley (SGVCOG),Yes,83,100,1400,N/A,9.5,142,146,86250,100,30,2452708,11686
El Monte Union High School District (EMUSHD),San Gabriel Valley (SGVCOG),Yes,80,92,163151,N/A,22.38,7290,129,62000,N/A,79,N/A,N/A
City of Cudahy,Gateway Cities (GCCOG),Yes,95,94,21700,36,1.23,17642,85,49600,100,20,N/A,N/A
City of South El Monte,San Gabriel Valley (SGVCOG),Yes,97,98,19000,37,2.84,6690,124,67700,80,12,593500,39700
City of Lynwood,Gateway Cities (GCCOG),Yes,91,92,63200,35,4.84,13058,33,67400,66,22,1340300,30100
City of Duarte,San Gabriel Valley (SGVCOG),Yes,78,58,23100,38,6.71,3443,132,93900,20,10,417700,N/A
City of Rancho Palos Verdes,South Bay Cities (SBCCOG),Yes,11,29,41600,N/A,13.5,3081,11,146200,0,25,359100,900
City of El Segundo ,South Bay Cities (SBCCOG),Yes,26,87,16500,N/A,5.5,3000,7,115900,0,20,94470,40800
